-41	16	4122
-310	15	4104
-1551	16	3924
-1941	16	3776
-2191	16	3656
-2521	17	3453
-2527	16	3449
-4372	16	412
-3108	17	2999
-4373	-65	433
59	-103	4126
658	-65	4034
1723	-25	3629
2231	-73	3300
2672	-14	2913
2993	-17	2549
3385	-21	1940
3846	-31	323
3831	-21	-424
3800	-47	-651
3432	-62	-1787
3762	-21	-843
2030	-23	-3387
3302	-31	-2019
2037	-69	-3381
678	-98	-3974
1253	-85	-3791
3852	-58	-110
3667	-24	-1185
2944	-41	-2538
-578	-22	-4061
-1320	-120	-3939
-1994	-95	-3699
-2329	-98	-3525
-2529	-85	-3401
-2756	-91	-3244
-3732	-61	-2195
-3224	-78	-2830
-4046	-49	-1615
-4341	-40	-616
-4391	-70	191
-266	-144	4153
28	-23	4128
47	-8	4096
54	511	4059
38	955	3977
-48	1493	3805
17	2042	3528
-31	2450	3254
-90	3110	2614
-103	3372	2257
-30	3436	2153
-76	4037	-107
-315	3763	-1481
-262	4007	-530
-355	3422	-2159
-382	3161	-2533
-413	2813	-2922
-442	2209	-3410
-456	1760	-3671
-493	1171	-3905
-484	604	-4032
-505	83	-4078
-508	-120	-4080
-507	-520	-4054
-510	-1028	-3959
-507	-1378	-3856
-501	-1571	-3784
-484	-2097	-3525
-481	-2653	-3137
-476	-3104	-2699
-549	-3673	-1855
-354	-3986	-1081
-139	-3923	1348
-93	-4131	-177
-516	-4131	-71
-479	-4126	285
-416	-4010	1043
-393	-3951	1253
-362	-3810	1637
-157	-2801	3077
-96	-1976	3659
-70	-1532	3862
-62	-2219	3507
-78	-1169	3979
-64	-562	4105
-43	-232	4132
-33	13	4136
-32	183	4131
